Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
103,408,no,no,8,48.0,79,17.94,342.3,74,21.91,139.9,49,6.77,0.7,7,1.27,5,0
180,510,no,yes,21,60.6,100,38.98,164.3,162,8.64,42.3,23,1.61,2.3,8,1.2,8,0
93,408,no,yes,22,19.0,28,16.46,181.5,138,1.67,260.1,173,9.34,8.2,1,3.95,3,0
15,415,no,yes,6,229.8,145,45.0,348.9,48,20.28,11.8,130,9.92,11.9,19,0.77,6,0
107,415,no,no,47,293.0,133,7.11,166.4,106,19.46,190.6,113,12.77,0.6,2,1.65,2,1
72,415,no,no,8,130.7,52,45.0,182.8,110,24.05,107.4,9,16.59,11.3,5,3.19,7,0
189,415,no,no,26,306.1,159,25.94,120.6,114,18.48,187.0,133,10.53,6.1,1,3.21,1,0
21,510,no,no,23,74.7,123,50.48,11.5,167,4.71,7.2,97,1.9,17.7,7,0.24,1,0
103,408,yes,no,28,113.9,41,43.6,157.2,20,25.59,20.4,51,1.5,10.7,19,0.36,4,0
122,408,yes,no,16,52.8,46,22.21,237.8,46,18.82,6.3,49,13.22,11.8,7,3.28,0,0
211,408,no,no,19,217.2,158,53.31,250.5,2,24.23,244.6,109,11.06,18.9,2,4.77,0,0
215,415,no,yes,6,147.0,10,16.72,2.4,157,23.22,221.2,57,2.75,15.3,16,4.99,2,0
75,415,no,no,42,214.6,153,57.05,290.8,126,8.94,92.1,12,4.31,8.8,10,4.94,5,0
203,408,no,no,39,266.6,154,45.26,178.7,66,2.24,255.4,124,12.75,9.5,2,1.76,5,0
88,415,no,no,6,191.0,82,58.45,189.0,61,5.3,349.3,58,9.62,13.0,11,1.21,7,0
117,408,no,no,27,219.7,108,3.18,349.1,164,2.79,109.5,166,9.95,4.0,13,0.49,6,0
100,408,no,no,18,327.3,26,16.17,103.3,149,7.3,328.6,52,3.57,1.8,0,1.63,0,0
104,408,no,yes,19,104.7,61,43.73,276.5,30,13.79,261.7,19,10.69,6.2,11,1.38,0,0
152,408,no,no,43,125.7,147,54.41,208.6,45,27.2,13.4,95,13.1,15.6,17,2.88,3,0
131,408,no,no,38,251.2,130,1.7,254.4,44,26.16,148.2,9,15.05,5.1,3,1.84,0,0
150,408,no,yes,39,214.0,143,0.0,151.7,13,21.56,200.6,153,12.52,2.6,2,1.16,0,0
53,408,no,no,6,62.5,102,15.12,101.4,120,0.72,289.0,146,9.8,4.4,16,3.06,0,0
2,415,no,no,5,131.7,43,50.31,198.2,139,10.24,113.4,60,11.45,13.6,12,1.62,2,0
88,408,no,no,24,163.7,92,45.26,136.1,118,20.47,388.2,76,8.25,12.3,16,1.77,1,0
236,408,no,yes,40,146.8,29,20.08,80.9,76,3.87,270.4,117,3.86,13.8,16,2.99,7,1
158,415,no,no,12,62.4,118,0.12,304.6,87,24.03,147.3,161,15.0,6.4,18,0.59,6,0
38,415,no,no,38,323.6,28,32.73,172.7,165,27.44,38.3,83,9.05,18.0,4,3.87,7,0
130,415,no,no,39,266.8,29,14.04,307.6,116,10.62,71.6,171,10.1,9.0,7,4.83,3,0
192,408,no,no,21,168.5,103,43.99,172.1,123,21.18,192.6,17,16.83,10.3,1,2.45,8,0
188,510,no,no,48,238.0,109,26.33,202.1,53,4.45,195.4,120,16.75,19.0,8,2.8,4,1
21,510,no,no,16,314.0,31,40.04,361.3,47,20.72,303.2,111,9.97,19.6,6,1.92,6,1
161,415,yes,no,47,47.7,137,50.29,345.4,100,0.64,286.8,71,0.58,13.2,15,4.78,3,0
204,510,no,no,21,87.6,50,31.61,98.6,14,4.52,79.5,143,6.73,18.9,11,0.66,0,0
58,415,no,no,33,189.9,135,19.82,315.3,112,21.3,235.0,103,15.93,10.8,4,4.07,7,1
22,408,no,yes,7,279.7,35,45.4,141.7,15,21.36,8.1,76,4.9,6.1,5,3.25,8,0
236,510,no,no,48,12.7,54,15.65,25.9,134,19.23,157.4,25,16.99,6.3,16,3.96,8,1
89,408,no,no,44,344.4,162,52.6,209.0,42,14.32,301.8,102,1.43,11.2,14,4.75,7,1
49,510,no,no,17,159.2,35,4.21,354.7,27,20.25,157.8,154,9.66,12.1,9,2.48,0,0
219,408,no,yes,23,125.7,55,49.29,353.7,65,23.21,330.1,3,8.76,8.8,2,1.44,2,0
59,510,no,no,41,102.5,35,5.4,45.9,97,28.99,385.6,50,4.34,17.7,6,3.9,4,0
170,408,no,yes,1,61.0,88,3.31,280.0,59,26.66,239.8,130,16.13,8.5,1,4.22,6,0
220,408,no,yes,1,277.1,61,21.43,291.4,127,23.84,57.3,86,10.53,5.5,12,3.43,7,1
188,510,no,no,26,334.4,108,56.44,133.9,130,20.84,150.0,65,3.91,0.2,13,4.25,0,0
208,408,no,no,13,144.8,86,58.03,239.1,128,17.22,3.7,143,6.53,19.4,3,3.65,4,0
15,408,no,no,47,333.3,152,11.92,177.2,158,3.62,238.1,27,12.26,16.5,7,4.79,2,0
190,408,no,yes,38,288.3,63,8.77,82.7,55,4.97,324.5,43,5.06,12.3,4,2.85,6,1
190,510,no,no,11,168.4,56,20.82,276.3,83,24.61,248.8,145,14.95,16.6,11,1.9,5,0
175,510,no,yes,31,235.9,112,19.89,95.4,31,24.1,310.5,1,2.82,16.2,11,3.4,0,0
190,408,no,no,27,152.2,69,44.82,123.6,80,18.43,316.0,171,4.5,18.6,10,0.35,1,0
51,408,no,no,27,195.6,19,26.2,69.0,17,13.17,336.1,147,2.46,7.7,1,2.49,4,1
108,510,no,no,45,20.3,53,46.01,261.1,34,0.78,105.3,55,1.77,11.1,4,3.87,4,1
55,510,no,no,24,243.7,0,44.17,166.5,103,9.82,344.2,119,5.11,2.0,12,0.84,0,0
64,408,no,yes,3,18.5,89,34.12,160.9,99,12.62,258.4,103,16.99,19.3,17,2.0,3,0
131,408,no,no,25,286.0,137,49.18,219.5,22,14.57,114.4,150,1.6,19.7,16,1.75,8,1
229,408,yes,yes,35,288.7,150,11.54,57.1,140,27.88,390.0,117,3.62,15.8,5,1.67,8,1
51,415,no,no,49,83.0,112,9.55,326.0,141,3.26,375.3,59,4.62,9.1,18,3.25,4,0
135,510,yes,no,2,113.3,151,44.29,168.8,164,15.57,226.9,172,10.53,9.9,16,2.49,6,0
21,415,no,yes,0,168.5,12,14.44,133.0,4,11.04,333.1,46,12.67,8.7,16,3.99,1,0
73,510,no,no,16,208.8,156,0.16,46.0,149,29.7,103.3,77,12.78,5.9,17,0.29,0,0
167,510,no,no,6,100.6,109,53.81,61.0,27,25.86,164.3,164,0.15,10.6,14,2.27,1,0
18,510,no,yes,47,207.4,90,36.75,334.1,131,13.16,72.7,135,11.08,1.1,19,0.07,3,0
132,510,no,yes,4,104.2,94,26.25,165.8,49,29.99,205.4,132,10.72,19.8,3,1.1,5,0
89,510,no,yes,18,19.4,42,42.82,262.2,101,15.42,195.9,22,8.8,8.5,3,3.88,2,0
60,510,no,no,38,0.9,137,19.67,29.2,28,5.01,84.1,104,6.45,18.5,4,0.53,1,0
14,510,no,no,45,35.4,158,56.27,233.6,36,16.68,265.8,9,13.56,14.5,14,0.53,6,1
242,415,no,yes,33,277.3,73,4.05,334.5,162,6.79,46.5,112,5.85,5.8,1,2.01,7,1
9,408,no,yes,34,336.5,13,37.82,108.9,147,19.09,24.4,26,3.91,4.4,10,3.88,8,1
90,408,no,no,48,149.4,98,45.86,210.2,162,28.12,152.0,98,5.27,19.9,2,3.19,7,1
53,415,no,no,15,179.4,108,27.68,341.3,129,23.59,161.9,0,7.47,15.4,10,3.91,1,0
130,415,no,no,39,51.4,161,44.54,261.1,115,8.19,126.3,70,3.64,5.0,2,0.25,2,1
84,415,no,no,49,192.9,144,54.69,22.6,57,8.91,101.9,114,10.33,1.3,10,2.82,0,0
92,415,no,yes,46,50.6,148,43.9,137.5,145,2.08,133.8,135,15.03,13.9,1,2.27,0,0
111,510,no,no,38,213.9,95,18.25,31.1,105,8.58,64.5,138,10.12,6.1,19,4.48,5,1
188,408,no,no,26,326.6,57,33.15,312.7,55,2.78,159.4,126,7.59,4.4,19,3.69,2,0
199,510,no,yes,40,68.5,135,53.78,225.7,121,14.98,357.3,115,13.55,14.7,14,2.12,3,0
172,408,no,no,37,267.6,95,26.5,347.2,102,21.25,88.6,155,12.72,13.6,7,2.77,7,1
8,408,no,no,49,8.2,37,40.22,7.2,122,22.54,270.4,33,6.24,9.6,1,2.12,4,0
175,415,no,no,49,131.4,153,27.47,153.6,21,1.79,56.0,170,10.27,18.9,17,2.21,5,0
35,510,no,yes,24,38.8,63,7.16,37.9,59,10.2,139.8,155,12.41,13.6,7,3.17,8,0
206,415,no,no,25,123.4,157,3.46,127.2,137,8.65,126.9,164,4.17,17.9,11,1.08,1,0
81,510,no,no,13,60.7,8,56.18,58.8,83,3.13,370.1,130,6.23,3.8,5,1.67,2,0
164,408,no,no,13,130.7,120,36.14,119.4,127,10.87,169.1,8,1.8,5.9,1,1.4,4,1
50,415,no,no,13,146.1,31,6.13,297.4,79,8.98,272.7,88,16.79,2.1,11,4.0,1,0
104,415,no,yes,24,105.2,10,50.59,58.3,133,19.03,238.0,129,1.46,6.1,11,4.71,7,1
132,408,yes,yes,35,229.8,161,30.84,171.9,80,26.5,55.7,22,2.87,19.4,12,2.07,1,0
2,408,no,no,3,321.6,104,45.54,334.5,5,13.65,371.1,144,8.16,19.3,8,0.39,3,0
134,408,no,yes,46,140.2,145,7.48,362.6,85,22.4,136.6,152,14.71,15.2,14,0.47,2,0
54,415,no,no,14,67.3,146,53.51,91.0,81,4.38,17.7,154,6.05,10.4,10,2.0,3,0
106,510,yes,no,31,94.8,81,34.84,339.6,155,26.85,118.7,19,13.07,15.6,8,1.97,3,0
4,415,no,no,17,298.9,36,43.56,94.9,41,4.58,132.6,72,11.49,11.1,7,0.73,5,1
54,510,no,no,13,200.1,81,1.85,150.1,73,5.76,36.6,163,10.86,0.1,19,4.04,8,0
221,415,no,no,0,159.3,11,18.6,318.7,40,3.19,244.9,155,14.37,10.0,17,2.5,2,0
